name,command
\.\/chip-tool,
accesscontrol,command-by-id
accesscontrol,read-by-id
accesscontrol,read
accesscontrol,write-by-id
accesscontrol,write
accesscontrol,force-write
accesscontrol,subscribe-by-id
accesscontrol,subscribe
accesscontrol,read-event-by-id
accesscontrol,read-event
accesscontrol,subscribe-event-by-id
accesscontrol,subscribe-event
accountlogin,command-by-id
accountlogin,get-setup-pin
accountlogin,login
accountlogin,logout
accountlogin,read-by-id
accountlogin,read
accountlogin,write-by-id
accountlogin,force-write
accountlogin,subscribe-by-id
accountlogin,subscribe
accountlogin,read-event-by-id
accountlogin,read-event
accountlogin,subscribe-event-by-id
accountlogin,subscribe-event
actions,command-by-id
actions,instant-action
actions,instant-action-with-transition
actions,start-action
actions,start-action-with-duration
actions,stop-action
actions,pause-action
actions,pause-action-with-duration
actions,resume-action
actions,enable-action
actions,enable-action-with-duration
actions,disable-action
actions,disable-action-with-duration
actions,read-by-id
actions,read
actions,write-by-id
actions,force-write
actions,subscribe-by-id
actions,subscribe
actions,read-event-by-id
actions,read-event
actions,subscribe-event-by-id
actions,subscribe-event
activatedcarbonfiltermonitoring,command-by-id
activatedcarbonfiltermonitoring,reset-condition
activatedcarbonfiltermonitoring,read-by-id
activatedcarbonfiltermonitoring,read
activatedcarbonfiltermonitoring,write-by-id
activatedcarbonfiltermonitoring,force-write
activatedcarbonfiltermonitoring,write
activatedcarbonfiltermonitoring,subscribe-by-id
activatedcarbonfiltermonitoring,subscribe
activatedcarbonfiltermonitoring,read-event-by-id
activatedcarbonfiltermonitoring,subscribe-event-by-id
administratorcommissioning,command-by-id
administratorcommissioning,open-commissioning-window
administratorcommissioning,open-basic-commissioning-window
administratorcommissioning,revoke-commissioning
administratorcommissioning,read-by-id
administratorcommissioning,read
administratorcommissioning,write-by-id
administratorcommissioning,force-write
administratorcommissioning,subscribe-by-id
administratorcommissioning,subscribe
administratorcommissioning,read-event-by-id
administratorcommissioning,subscribe-event-by-id
airquality,command-by-id
airquality,read-by-id
airquality,read
airquality,write-by-id
airquality,force-write
airquality,subscribe-by-id
airquality,subscribe
airquality,read-event-by-id
airquality,subscribe-event-by-id
applicationbasic,command-by-id
applicationbasic,read-by-id
applicationbasic,read
applicationbasic,write-by-id
applicationbasic,force-write
applicationbasic,subscribe-by-id
applicationbasic,subscribe
applicationbasic,read-event-by-id
applicationbasic,subscribe-event-by-id
applicationlauncher,command-by-id
applicationlauncher,launch-app
applicationlauncher,stop-app
applicationlauncher,hide-app
applicationlauncher,read-by-id
applicationlauncher,read
applicationlauncher,write-by-id
applicationlauncher,force-write
applicationlauncher,subscribe-by-id
applicationlauncher,subscribe
applicationlauncher,read-event-by-id
applicationlauncher,subscribe-event-by-id
audiooutput,command-by-id
audiooutput,select-output
audiooutput,rename-output
audiooutput,read-by-id
audiooutput,read
audiooutput,write-by-id
audiooutput,force-write
audiooutput,subscribe-by-id
audiooutput,subscribe
audiooutput,read-event-by-id
audiooutput,subscribe-event-by-id
ballastconfiguration,command-by-id
ballastconfiguration,read-by-id
ballastconfiguration,read
ballastconfiguration,write-by-id
ballastconfiguration,force-write
ballastconfiguration,write
ballastconfiguration,subscribe-by-id
ballastconfiguration,subscribe
ballastconfiguration,read-event-by-id
ballastconfiguration,subscribe-event-by-id
barriercontrol,command-by-id
barriercontrol,barrier-control-go-to-percent
barriercontrol,barrier-control-stop
barriercontrol,read-by-id
barriercontrol,read
barriercontrol,write-by-id
barriercontrol,force-write
barriercontrol,write
barriercontrol,subscribe-by-id
barriercontrol,subscribe
barriercontrol,read-event-by-id
barriercontrol,subscribe-event-by-id
basicinformation,command-by-id
basicinformation,mfg-specific-ping
basicinformation,read-by-id
basicinformation,read
basicinformation,write-by-id
basicinformation,force-write
basicinformation,write
basicinformation,subscribe-by-id
basicinformation,subscribe
basicinformation,read-event-by-id
basicinformation,read-event
basicinformation,subscribe-event-by-id
basicinformation,subscribe-event
binaryinputbasic,command-by-id
binaryinputbasic,read-by-id
binaryinputbasic,read
binaryinputbasic,write-by-id
binaryinputbasic,write
binaryinputbasic,force-write
binaryinputbasic,subscribe-by-id
binaryinputbasic,subscribe
binaryinputbasic,read-event-by-id
binaryinputbasic,subscribe-event-by-id
binding,command-by-id
binding,read-by-id
binding,read
binding,write-by-id
binding,write
binding,force-write
binding,subscribe-by-id
binding,subscribe
binding,read-event-by-id
binding,subscribe-event-by-id
booleanstate,command-by-id
booleanstate,read-by-id
booleanstate,read
booleanstate,write-by-id
booleanstate,force-write
booleanstate,subscribe-by-id
booleanstate,subscribe
booleanstate,read-event-by-id
booleanstate,read-event
booleanstate,subscribe-event-by-id
booleanstate,subscribe-event
booleanstateconfiguration,command-by-id
booleanstateconfiguration,suppress-alarm
booleanstateconfiguration,enable-disable-alarm
booleanstateconfiguration,read-by-id
booleanstateconfiguration,read
booleanstateconfiguration,write-by-id
booleanstateconfiguration,write
booleanstateconfiguration,force-write
booleanstateconfiguration,subscribe-by-id
booleanstateconfiguration,subscribe
booleanstateconfiguration,read-event-by-id
booleanstateconfiguration,read-event
booleanstateconfiguration,subscribe-event-by-id
booleanstateconfiguration,subscribe-event
bridgeddevicebasicinformation,command-by-id
bridgeddevicebasicinformation,read-by-id
bridgeddevicebasicinformation,read
bridgeddevicebasicinformation,write-by-id
bridgeddevicebasicinformation,force-write
bridgeddevicebasicinformation,write
bridgeddevicebasicinformation,subscribe-by-id
bridgeddevicebasicinformation,subscribe
bridgeddevicebasicinformation,read-event-by-id
bridgeddevicebasicinformation,read-event
bridgeddevicebasicinformation,subscribe-event-by-id
bridgeddevicebasicinformation,subscribe-event
carbondioxideconcentrationmeasurement,command-by-id
carbondioxideconcentrationmeasurement,read-by-id
carbondioxideconcentrationmeasurement,read
carbondioxideconcentrationmeasurement,write-by-id
carbondioxideconcentrationmeasurement,force-write
carbondioxideconcentrationmeasurement,subscribe-by-id
carbondioxideconcentrationmeasurement,subscribe
carbondioxideconcentrationmeasurement,read-event-by-id
carbondioxideconcentrationmeasurement,subscribe-event-by-id
carbonmonoxideconcentrationmeasurement,command-by-id
carbonmonoxideconcentrationmeasurement,read-by-id
carbonmonoxideconcentrationmeasurement,read
carbonmonoxideconcentrationmeasurement,write-by-id
carbonmonoxideconcentrationmeasurement,force-write
carbonmonoxideconcentrationmeasurement,subscribe-by-id
carbonmonoxideconcentrationmeasurement,subscribe
carbonmonoxideconcentrationmeasurement,read-event-by-id
carbonmonoxideconcentrationmeasurement,subscribe-event-by-id
channel,command-by-id
channel,change-channel
channel,change-channel-by-number
channel,skip-channel
channel,get-program-guide
channel,record-program
channel,cancel-record-program
channel,read-by-id
channel,read
channel,write-by-id
channel,force-write
channel,subscribe-by-id
channel,subscribe
channel,read-event-by-id
channel,subscribe-event-by-id
colorcontrol,command-by-id
colorcontrol,move-to-hue
colorcontrol,move-hue
colorcontrol,step-hue
colorcontrol,move-to-saturation
colorcontrol,move-saturation
colorcontrol,step-saturation
colorcontrol,move-to-hue-and-saturation
colorcontrol,move-to-color
colorcontrol,move-color
colorcontrol,step-color
colorcontrol,move-to-color-temperature
colorcontrol,enhanced-move-to-hue
colorcontrol,enhanced-move-hue
colorcontrol,enhanced-step-hue
colorcontrol,enhanced-move-to-hue-and-saturation
colorcontrol,color-loop-set
colorcontrol,stop-move-step
colorcontrol,move-color-temperature
colorcontrol,step-color-temperature
colorcontrol,read-by-id
colorcontrol,read
colorcontrol,write-by-id
colorcontrol,force-write
colorcontrol,write
colorcontrol,subscribe-by-id
colorcontrol,subscribe
colorcontrol,read-event-by-id
colorcontrol,subscribe-event-by-id
contentappobserver,command-by-id
contentappobserver,content-app-message
contentappobserver,read-by-id
contentappobserver,read
contentappobserver,write-by-id
contentappobserver,force-write
contentappobserver,subscribe-by-id
contentappobserver,subscribe
contentappobserver,read-event-by-id
contentappobserver,subscribe-event-by-id
contentcontrol,command-by-id
contentcontrol,update-pin
contentcontrol,reset-pin
contentcontrol,enable
contentcontrol,disable
contentcontrol,add-bonus-time
contentcontrol,set-screen-daily-time
contentcontrol,block-unrated-content
contentcontrol,unblock-unrated-content
contentcontrol,set-on-demand-rating-threshold
contentcontrol,set-scheduled-content-rating-threshold
contentcontrol,read-by-id
contentcontrol,read
contentcontrol,write-by-id
contentcontrol,force-write
contentcontrol,subscribe-by-id
contentcontrol,subscribe
contentcontrol,read-event-by-id
contentcontrol,read-event
contentcontrol,subscribe-event-by-id
contentcontrol,subscribe-event
contentlauncher,command-by-id
contentlauncher,launch-content
contentlauncher,launch-url
contentlauncher,read-by-id
contentlauncher,read
contentlauncher,write-by-id
contentlauncher,force-write
contentlauncher,subscribe-by-id
contentlauncher,subscribe
contentlauncher,read-event-by-id
contentlauncher,subscribe-event-by-id
demandresponseloadcontrol,command-by-id
demandresponseloadcontrol,register-load-control-program-request
demandresponseloadcontrol,unregister-load-control-program-request
demandresponseloadcontrol,add-load-control-event-request
demandresponseloadcontrol,remove-load-control-event-request
demandresponseloadcontrol,clear-load-control-events-request
demandresponseloadcontrol,read-by-id
demandresponseloadcontrol,read
demandresponseloadcontrol,write-by-id
demandresponseloadcontrol,force-write
demandresponseloadcontrol,write
demandresponseloadcontrol,subscribe-by-id
demandresponseloadcontrol,subscribe
demandresponseloadcontrol,read-event-by-id
demandresponseloadcontrol,read-event
demandresponseloadcontrol,subscribe-event-by-id
demandresponseloadcontrol,subscribe-event
descriptor,command-by-id
descriptor,read-by-id
descriptor,read
descriptor,write-by-id
descriptor,force-write
descriptor,subscribe-by-id
descriptor,subscribe
descriptor,read-event-by-id
descriptor,subscribe-event-by-id
deviceenergymanagement,command-by-id
deviceenergymanagement,power-adjust-request
deviceenergymanagement,cancel-power-adjust-request
deviceenergymanagement,start-time-adjust-request
deviceenergymanagement,pause-request
deviceenergymanagement,resume-request
deviceenergymanagement,modify-forecast-request
deviceenergymanagement,request-constraint-based-forecast
deviceenergymanagement,cancel-request
deviceenergymanagement,read-by-id
deviceenergymanagement,read
deviceenergymanagement,write-by-id
deviceenergymanagement,force-write
deviceenergymanagement,subscribe-by-id
deviceenergymanagement,subscribe
deviceenergymanagement,read-event-by-id
deviceenergymanagement,read-event
deviceenergymanagement,subscribe-event-by-id
deviceenergymanagement,subscribe-event
deviceenergymanagementmode,command-by-id
deviceenergymanagementmode,change-to-mode
deviceenergymanagementmode,read-by-id
deviceenergymanagementmode,read
deviceenergymanagementmode,write-by-id
deviceenergymanagementmode,force-write
deviceenergymanagementmode,write
deviceenergymanagementmode,subscribe-by-id
deviceenergymanagementmode,subscribe
deviceenergymanagementmode,read-event-by-id
deviceenergymanagementmode,subscribe-event-by-id
diagnosticlogs,command-by-id
diagnosticlogs,retrieve-logs-request
diagnosticlogs,read-by-id
diagnosticlogs,read
diagnosticlogs,write-by-id
diagnosticlogs,force-write
diagnosticlogs,subscribe-by-id
diagnosticlogs,subscribe
diagnosticlogs,read-event-by-id
diagnosticlogs,subscribe-event-by-id
dishwasheralarm,command-by-id
dishwasheralarm,reset
dishwasheralarm,modify-enabled-alarms
dishwasheralarm,read-by-id
dishwasheralarm,read
dishwasheralarm,write-by-id
dishwasheralarm,force-write
dishwasheralarm,subscribe-by-id
dishwasheralarm,subscribe
dishwasheralarm,read-event-by-id
dishwasheralarm,read-event
dishwasheralarm,subscribe-event-by-id
dishwasheralarm,subscribe-event
dishwashermode,command-by-id
dishwashermode,change-to-mode
dishwashermode,read-by-id
dishwashermode,read
dishwashermode,write-by-id
dishwashermode,force-write
dishwashermode,write
dishwashermode,subscribe-by-id
dishwashermode,subscribe
dishwashermode,read-event-by-id
dishwashermode,subscribe-event-by-id
doorlock,command-by-id
doorlock,lock-door
doorlock,unlock-door
doorlock,unlock-with-timeout
doorlock,set-week-day-schedule
doorlock,get-week-day-schedule
doorlock,clear-week-day-schedule
doorlock,set-year-day-schedule
doorlock,get-year-day-schedule
doorlock,clear-year-day-schedule
doorlock,set-holiday-schedule
doorlock,get-holiday-schedule
doorlock,clear-holiday-schedule
doorlock,set-user
doorlock,get-user
doorlock,clear-user
doorlock,set-credential
doorlock,get-credential-status
doorlock,clear-credential
doorlock,unbolt-door
doorlock,set-aliro-reader-config
doorlock,clear-aliro-reader-config
doorlock,read-by-id
doorlock,read
doorlock,write-by-id
doorlock,force-write
doorlock,write
doorlock,subscribe-by-id
doorlock,subscribe
doorlock,read-event-by-id
doorlock,read-event
doorlock,subscribe-event-by-id
doorlock,subscribe-event
electricalenergymeasurement,command-by-id
electricalenergymeasurement,read-by-id
electricalenergymeasurement,read
electricalenergymeasurement,write-by-id
electricalenergymeasurement,force-write
electricalenergymeasurement,subscribe-by-id
electricalenergymeasurement,subscribe
electricalenergymeasurement,read-event-by-id
electricalenergymeasurement,read-event
electricalenergymeasurement,subscribe-event-by-id
electricalenergymeasurement,subscribe-event
electricalmeasurement,command-by-id
electricalmeasurement,get-profile-info-command
electricalmeasurement,get-measurement-profile-command
electricalmeasurement,read-by-id
electricalmeasurement,read
electricalmeasurement,write-by-id
electricalmeasurement,force-write
electricalmeasurement,write
electricalmeasurement,subscribe-by-id
electricalmeasurement,subscribe
electricalmeasurement,read-event-by-id
electricalmeasurement,subscribe-event-by-id
electricalpowermeasurement,command-by-id
electricalpowermeasurement,read-by-id
electricalpowermeasurement,read
electricalpowermeasurement,write-by-id
electricalpowermeasurement,force-write
electricalpowermeasurement,subscribe-by-id
electricalpowermeasurement,subscribe
electricalpowermeasurement,read-event-by-id
electricalpowermeasurement,read-event
electricalpowermeasurement,subscribe-event-by-id
electricalpowermeasurement,subscribe-event
energyevse,command-by-id
energyevse,disable
energyevse,enable-charging
energyevse,enable-discharging
energyevse,start-diagnostics
energyevse,set-targets
energyevse,get-targets
energyevse,clear-targets
energyevse,read-by-id
energyevse,read
energyevse,write-by-id
energyevse,force-write
energyevse,write
energyevse,subscribe-by-id
energyevse,subscribe
energyevse,read-event-by-id
energyevse,read-event
energyevse,subscribe-event-by-id
energyevse,subscribe-event
energyevsemode,command-by-id
energyevsemode,change-to-mode
energyevsemode,read-by-id
energyevsemode,read
energyevsemode,write-by-id
energyevsemode,force-write
energyevsemode,write
energyevsemode,subscribe-by-id
energyevsemode,subscribe
energyevsemode,read-event-by-id
energyevsemode,subscribe-event-by-id
energypreference,command-by-id
energypreference,read-by-id
energypreference,read
energypreference,write-by-id
energypreference,force-write
energypreference,write
energypreference,subscribe-by-id
energypreference,subscribe
energypreference,read-event-by-id
energypreference,subscribe-event-by-id
ethernetnetworkdiagnostics,command-by-id
ethernetnetworkdiagnostics,reset-counts
ethernetnetworkdiagnostics,read-by-id
ethernetnetworkdiagnostics,read
ethernetnetworkdiagnostics,write-by-id
ethernetnetworkdiagnostics,force-write
ethernetnetworkdiagnostics,subscribe-by-id
ethernetnetworkdiagnostics,subscribe
ethernetnetworkdiagnostics,read-event-by-id
ethernetnetworkdiagnostics,subscribe-event-by-id
fancontrol,command-by-id
fancontrol,step
fancontrol,read-by-id
fancontrol,read
fancontrol,write-by-id
fancontrol,write
fancontrol,force-write
fancontrol,subscribe-by-id
fancontrol,subscribe
fancontrol,read-event-by-id
fancontrol,subscribe-event-by-id
faultinjection,command-by-id
faultinjection,fail-at-fault
faultinjection,fail-randomly-at-fault
faultinjection,read-by-id
faultinjection,read
faultinjection,write-by-id
faultinjection,force-write
faultinjection,subscribe-by-id
faultinjection,subscribe
faultinjection,read-event-by-id
faultinjection,subscribe-event-by-id
fixedlabel,command-by-id
fixedlabel,read-by-id
fixedlabel,read
fixedlabel,write-by-id
fixedlabel,force-write
fixedlabel,subscribe-by-id
fixedlabel,subscribe
fixedlabel,read-event-by-id
fixedlabel,subscribe-event-by-id
flowmeasurement,command-by-id
flowmeasurement,read-by-id
flowmeasurement,read
flowmeasurement,write-by-id
flowmeasurement,force-write
flowmeasurement,subscribe-by-id
flowmeasurement,subscribe
flowmeasurement,read-event-by-id
flowmeasurement,subscribe-event-by-id
formaldehydeconcentrationmeasurement,command-by-id
formaldehydeconcentrationmeasurement,read-by-id
formaldehydeconcentrationmeasurement,read
formaldehydeconcentrationmeasurement,write-by-id
formaldehydeconcentrationmeasurement,force-write
formaldehydeconcentrationmeasurement,subscribe-by-id
formaldehydeconcentrationmeasurement,subscribe
formaldehydeconcentrationmeasurement,read-event-by-id
formaldehydeconcentrationmeasurement,subscribe-event-by-id
generalcommissioning,command-by-id
generalcommissioning,arm-fail-safe
generalcommissioning,set-regulatory-config
generalcommissioning,commissioning-complete
generalcommissioning,read-by-id
generalcommissioning,read
generalcommissioning,write-by-id
generalcommissioning,write
generalcommissioning,force-write
generalcommissioning,subscribe-by-id
generalcommissioning,subscribe
generalcommissioning,read-event-by-id
generalcommissioning,subscribe-event-by-id
generaldiagnostics,command-by-id
generaldiagnostics,test-event-trigger
generaldiagnostics,time-snapshot
generaldiagnostics,payload-test-request
generaldiagnostics,read-by-id
generaldiagnostics,read
generaldiagnostics,write-by-id
generaldiagnostics,force-write
generaldiagnostics,subscribe-by-id
generaldiagnostics,subscribe
generaldiagnostics,read-event-by-id
generaldiagnostics,read-event
generaldiagnostics,subscribe-event-by-id
generaldiagnostics,subscribe-event
groupkeymanagement,command-by-id
groupkeymanagement,key-set-write
groupkeymanagement,key-set-read
groupkeymanagement,key-set-remove
groupkeymanagement,key-set-read-all-indices
groupkeymanagement,read-by-id
groupkeymanagement,read
groupkeymanagement,write-by-id
groupkeymanagement,write
groupkeymanagement,force-write
groupkeymanagement,subscribe-by-id
groupkeymanagement,subscribe
groupkeymanagement,read-event-by-id
groupkeymanagement,subscribe-event-by-id
groups,command-by-id
groups,add-group
groups,view-group
groups,get-group-membership
groups,remove-group
groups,remove-all-groups
groups,add-group-if-identifying
groups,read-by-id
groups,read
groups,write-by-id
groups,force-write
groups,subscribe-by-id
groups,subscribe
groups,read-event-by-id
groups,subscribe-event-by-id
hepafiltermonitoring,command-by-id
hepafiltermonitoring,reset-condition
hepafiltermonitoring,read-by-id
hepafiltermonitoring,read
hepafiltermonitoring,write-by-id
hepafiltermonitoring,force-write
hepafiltermonitoring,write
hepafiltermonitoring,subscribe-by-id
hepafiltermonitoring,subscribe
hepafiltermonitoring,read-event-by-id
hepafiltermonitoring,subscribe-event-by-id
icdmanagement,command-by-id
icdmanagement,register-client
icdmanagement,unregister-client
icdmanagement,stay-active-request
icdmanagement,read-by-id
icdmanagement,read
icdmanagement,write-by-id
icdmanagement,force-write
icdmanagement,subscribe-by-id
icdmanagement,subscribe
icdmanagement,read-event-by-id
icdmanagement,subscribe-event-by-id
identify,command-by-id
identify,identify
identify,trigger-effect
identify,read-by-id
identify,read
identify,write-by-id
identify,write
identify,force-write
identify,subscribe-by-id
identify,subscribe
identify,read-event-by-id
identify,subscribe-event-by-id
illuminancemeasurement,command-by-id
illuminancemeasurement,read-by-id
illuminancemeasurement,read
illuminancemeasurement,write-by-id
illuminancemeasurement,force-write
illuminancemeasurement,subscribe-by-id
illuminancemeasurement,subscribe
illuminancemeasurement,read-event-by-id
illuminancemeasurement,subscribe-event-by-id
keypadinput,command-by-id
keypadinput,send-key
keypadinput,read-by-id
keypadinput,read
keypadinput,write-by-id
keypadinput,force-write
keypadinput,subscribe-by-id
keypadinput,subscribe
keypadinput,read-event-by-id
keypadinput,subscribe-event-by-id
laundrydryercontrols,command-by-id
laundrydryercontrols,read-by-id
laundrydryercontrols,read
laundrydryercontrols,write-by-id
laundrydryercontrols,force-write
laundrydryercontrols,write
laundrydryercontrols,subscribe-by-id
laundrydryercontrols,subscribe
laundrydryercontrols,read-event-by-id
laundrydryercontrols,subscribe-event-by-id
laundrywashercontrols,command-by-id
laundrywashercontrols,read-by-id
laundrywashercontrols,read
laundrywashercontrols,write-by-id
laundrywashercontrols,force-write
laundrywashercontrols,write
laundrywashercontrols,subscribe-by-id
laundrywashercontrols,subscribe
laundrywashercontrols,read-event-by-id
laundrywashercontrols,subscribe-event-by-id
laundrywashermode,command-by-id
laundrywashermode,change-to-mode
laundrywashermode,read-by-id
laundrywashermode,read
laundrywashermode,write-by-id
laundrywashermode,force-write
laundrywashermode,write
laundrywashermode,subscribe-by-id
laundrywashermode,subscribe
laundrywashermode,read-event-by-id
laundrywashermode,subscribe-event-by-id
levelcontrol,command-by-id
levelcontrol,move-to-level
levelcontrol,move
levelcontrol,step
levelcontrol,stop
levelcontrol,move-to-level-with-on-off
levelcontrol,move-with-on-off
levelcontrol,step-with-on-off
levelcontrol,stop-with-on-off
levelcontrol,move-to-closest-frequency
levelcontrol,read-by-id
levelcontrol,read
levelcontrol,write-by-id
levelcontrol,force-write
levelcontrol,write
levelcontrol,subscribe-by-id
levelcontrol,subscribe
levelcontrol,read-event-by-id
levelcontrol,subscribe-event-by-id
localizationconfiguration,command-by-id
localizationconfiguration,read-by-id
localizationconfiguration,read
localizationconfiguration,write-by-id
localizationconfiguration,write
localizationconfiguration,force-write
localizationconfiguration,subscribe-by-id
localizationconfiguration,subscribe
localizationconfiguration,read-event-by-id
localizationconfiguration,subscribe-event-by-id
lowpower,command-by-id
lowpower,sleep
lowpower,read-by-id
lowpower,read
lowpower,write-by-id
lowpower,force-write
lowpower,subscribe-by-id
lowpower,subscribe
lowpower,read-event-by-id
lowpower,subscribe-event-by-id
mediainput,command-by-id
mediainput,select-input
mediainput,show-input-status
mediainput,hide-input-status
mediainput,rename-input
mediainput,read-by-id
mediainput,read
mediainput,write-by-id
mediainput,force-write
mediainput,subscribe-by-id
mediainput,subscribe
mediainput,read-event-by-id
mediainput,subscribe-event-by-id
mediaplayback,command-by-id
mediaplayback,play
mediaplayback,pause
mediaplayback,stop
mediaplayback,start-over
mediaplayback,previous
mediaplayback,next
mediaplayback,rewind
mediaplayback,fast-forward
mediaplayback,skip-forward
mediaplayback,skip-backward
mediaplayback,seek
mediaplayback,activate-audio-track
mediaplayback,activate-text-track
mediaplayback,deactivate-text-track
mediaplayback,read-by-id
mediaplayback,read
mediaplayback,write-by-id
mediaplayback,force-write
mediaplayback,subscribe-by-id
mediaplayback,subscribe
mediaplayback,read-event-by-id
mediaplayback,read-event
