"source","TC","step","substep","method","cmd_keyword","replace","lastlog_keyword","para_name","add_cmd","message","waittime","diff_session","notice"
"Matter_V_1_2_TestPlanVerificationSteps_Auto.xlsx","[TC-CNET-4.11] [WiFi] Verification for ConnectNetwork Command [DUT-Server]","2","1","getlastlog","","","NetworkID:","BDX1","","","","","Pei"
"Matter_V_1_2_TestPlanVerificationSteps_Auto.xlsx","[TC-CNET-4.11] [WiFi] Verification for ConnectNetwork Command [DUT-Server]","4","1","replace","<your 1st network id in hex>","var:BDX1","","","","","","","Pei"
"Matter_V_1_2_TestPlanVerificationSteps_Auto.xlsx","[TC-CNET-4.11] [WiFi] Verification for ConnectNetwork Command [DUT-Server]","6","1","getlastlog","","","NetworkID:","BDX2","","","","","Pei"
"Matter_V_1_2_TestPlanVerificationSteps_Auto.xlsx","[TC-CNET-4.11] [WiFi] Verification for ConnectNetwork Command [DUT-Server]","7","1","replace","<your second network id in hex>","var:BDX2","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.11. [TC-CADMIN-1.11] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissionee]","2","1","getlastlog","","","Manual pairing code:","ManualCode1","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.11. [TC-CADMIN-1.11] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissionee]","4","1","replace","35484132896","var:ManualCode1","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.11. [TC-CADMIN-1.11] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissionee]","5","1","getlastlog","","","Manual pairing code:","ManualCode2","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.11. [TC-CADMIN-1.11] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissionee]","5","2","replace","35484132896","var:ManualCode2","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.11. [TC-CADMIN-1.11] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissionee]","8","1","waittime","","","","","","","190","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.11. [TC-CADMIN-1.11] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissionee]","12","1","waittime","","","","","","","510","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-DGGEN-2.2] Event Functionality [{DUT_Server}]","1","1","skip","","","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.6] Last Fabric removal validation [DUT-Server]","1","1","skip","","","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.4] UpdateNOC-Error Condition [DUT-Server]","1","1","skip","","","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.4] UpdateNOC-Error Condition [DUT-Server]","3","1","getlastlog","","","CHIP:TOO:     [1]:","Hex1","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.4] UpdateNOC-Error Condition [DUT-Server]","4","1","replace","1530010101240201370324130118260480228127260580254D3A3706241501241101182407012408013009410410C15281FE7A04637C46E47E30948152C5F9481B6D62D08C9D476A3D44D26E20C704DCAE97FCA4612B17A2A9B16A2D78BF9220F63E9CD19C6589CFC4CE09FF90370A350128011824020136030402040118300414C8FF1A09BE17C6824D61DA88A603A7B180804009300514574F6879804602B57796FB2D6F7212969A171E7118300B40A969CA49361A3F69E3220B19583F05F6D6B2D156AFE1992FDAD8A67A22049A0A7F62E7F303BA0B8AFDC2826A77AC94A3D042F4C611FDE66B41E34B812CEB3CFB18","var:Hex1","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.4] UpdateNOC-Error Condition [DUT-Server]","6","1","replace","1530010101240201370324130118260480228127260580254D3A3706241501241101182407012408013009410410C15281FE7A04637C46E47E30948152C5F9481B6D62D08C9D476A3D44D26E20C704DCAE97FCA4612B17A2A9B16A2D78BF9220F63E9CD19C6589CFC4CE09FF90370A350128011824020136030402040118300414C8FF1A09BE17C6824D61DA88A603A7B180804009300514574F6879804602B57796FB2D6F7212969A171E7118300B40A969CA49361A3F69E3220B19583F05F6D6B2D156AFE1992FDAD8A67A22049A0A7F62E7F303BA0B8AFDC2826A77AC94A3D042F4C611FDE66B41E34B812CEB3CFB18","var:Hex1","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.4] UpdateNOC-Error Condition [DUT-Server]","7","1","add_before","C11D6EAA00A54066220DA7F3FC5DC0F684C13D8B8FD3758B51163C2AEDD6F10F","var:Hex2","hex:","Hex2","echo hex:$(hexdump -vn32 -e'4/4 ""%08X"" ' /dev/urandom)","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.5] NOC Check for UpdateNOC [DUT-Server]","1","1","skip","","","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.5] NOC Check for UpdateNOC [DUT-Server]","5","1","add_before","","","hex:","Hex3","echo hex:$(hexdump -vn32 -e'4/4 ""%08X"" ' /dev/urandom)","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-OPCREDS-3.5] NOC Check for UpdateNOC [DUT-Server]","5","1","replace","C11D6EAA00A54066220DA7F3FC5DC0F684C13D8B8FD3758B51163C2AEDD6F10F","var:Hex3","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-SC-5.3] Sending a group message - DUT to TH","precondition","1","skip","","","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","7","1","replace","34970112332","py:--manual-code","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","8","2","replace","34970112332","py:--manual-code","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","11","1","waittime","","","","","","","510","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","17","1","waittime","","","","","","","210","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","19","1","waittime","","","","","","","190","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","2","1","getlastlog","","","Manual pairing code:","ManualCode3","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","3","1","replace","36217551633","var:ManualCode3","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","4","1","getlastlog","","","Manual pairing code:","ManualCode4","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","5","1","replace","36217551633","var:ManualCode4","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","11","1","getlastlog","","","Manual pairing code:","ManualCode5","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","12","1","replace","36217551633","var:ManualCode5","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","3.4.3. [TC-IDM-4.3] Report Data Messages post Subscription Activation from DUT Test Cases. [{DUT_Server}]","3","1","getlastlog","","","DataVersion = ","DataVersion1","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","3.4.3. [TC-IDM-4.3] Report Data Messages post Subscription Activation from DUT Test Cases. [{DUT_Server}]","3","2","replace","0x1979c38","var:DataVersion1","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-IDM-8.1] Fabric scoped Test Cases. [DUT as Server]","precondition
","1","skip","","","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-IDM-8.1] Fabric scoped Test Cases. [DUT as Server]","precondition","2","getlastlog","","","Manual pairing code:","ManualCode6","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-IDM-8.1] Fabric scoped Test Cases. [DUT as Server]","precondition","3","replace","mannualcode","var:ManualCode6","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode7","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","2","2","replace","35484132896","var:ManualCode7","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","3","1","getlastlog","","","Manual pairing code:","ManualCode8","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","3","2","replace","35484132896","var:ManualCode8","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","6","1","waittime","","","","","","","310","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","9","1","waittime","","","","","","","510","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode9","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","4.a","1","replace","35998938564","var:ManualCode9","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","9","1","getlastlog","","","Manual pairing code:","ManualCode10","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","11","1","replace","34995354639","var:ManualCode10","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","13","1","waittime","","","","","","","190","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","15","1","getlastlog","","","Manual pairing code:","ManualCode11","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","16","1","replace","34995354639","var:ManualCode11","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-G-2.2] Commands - AddGroup, ViewGroup, RemoveGroup, RemoveAllGroups [DUT-Server]","2a","1","replace","./chip-tool groupkeymanagement read group-table 1 0","./chip-tool groupkeymanagement read group-table 1 1","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode12","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","3","1","replace","./chip-tool pairing code 1 35484132896  --commissioner-name beta","./chip-tool pairing code 2 35484132896  --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","3","1","replace","35484132896","var:ManualCode12","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","4","1","getlastlog","","","Manual pairing code:","ManualCode13","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","5","1","replace","./chip-tool pairing code 1 35484132896  --commissioner-name gamma","./chip-tool pairing code 3 35484132896  --commissioner-name gamma","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","5","1","replace","35484132896","var:ManualCode13","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","6","1","replace","./chip-tool operationalcredentials read fabrics 1 0 --fabric-filtered 0  --commissioner-name beta","./chip-tool operationalcredentials read fabrics 1 0 --fabric-filtered 0","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","8","1","replace","./chip-tool  basicinformation write node-label te5new 1 0 --commissioner-name beta","./chip-tool  basicinformation write node-label te5new 2 0 --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","8","2","replace","./chip-tool  basicinformation read node-label 1 0 --commissioner-name beta","./chip-tool  basicinformation read node-label 2 0 --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","11","1","getlastlog","","","Manual pairing code:","ManualCode14","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","12","1","replace","./chip-tool pairing code 1 36217551633  --commissioner-name beta","./chip-tool pairing code 2 36217551633  --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","12","1","replace","36217551633","var:ManualCode14","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","13","1","replace","./chip-tool operationalcredentials read fabrics 1 0 --fabric-filtered 0  --commissioner-name beta","./chip-tool operationalcredentials read fabrics 2 0 --fabric-filtered 0  --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.18. [TC-CADMIN-1.18] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissioner]","3","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.18. [TC-CADMIN-1.18] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissioner]","5","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.18. [TC-CADMIN-1.18] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissioner]","12","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode15","","","310","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","4","1","replace","36366524220","var:ManualCode15","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","5","1","getlastlog","","","Manual pairing code:","ManualCode16","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","7","1","replace","34921141778","var:ManualCode16","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","10","1","getlastlog","","","Manual pairing code:","ManualCode17","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","11","1","replace","35256543344","var:ManualCode17","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","12","1","replace","35256543344","var:ManualCode17","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","2","1","waittime","","","","","","","310","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","4","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","7","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","11","1","replace","20202021","py:--passcode","","","","","","","Kenny"
